Time (s),Error (km)
500639.689336,56.142810
501433.148237,55.716471
502532.568387,55.111377
503926.668245,54.306792
505601.142462,53.268072
507538.808666,51.951206
509719.783779,50.299833
512121.688045,48.309588
514719.874677,45.971609
517487.682764,43.335361
520396.710849,40.519056
523417.108367,37.733426
526517.881953,35.301506
529667.213474,33.651635
532832.786526,33.248364
535982.118047,34.474145
539082.891633,37.670823
542103.289151,43.742012
545012.317236,54.653815
547780.125323,64.369209
550378.311955,65.040480
552780.216221,63.837652
554961.191334,62.942813
556898.857538,62.287644
558573.331755,61.732456
559967.431613,61.233652
561066.851763,60.800734
561860.310664,60.461843
562339.666356,60.245346
562500.000000,60.170875
562500.000000,60.170875
562660.333644,60.095353
563139.689336,59.863199
563933.148237,59.457489
565032.568387,58.850074
566426.668245,58.003258
568101.142462,56.884884
570038.808666,55.429624
572219.783779,53.620625
574621.688045,51.456843
577219.874677,48.982207
579987.682764,46.307493
582896.710849,43.636483
585917.108367,41.291110
589017.881953,39.720815
592167.213474,39.472385
595332.786526,41.160960
598482.118047,45.723939
601582.891633,55.241045
604603.289151,67.030333
607512.317236,68.727132
610280.125323,67.559605
612878.311955,66.965987
615280.216221,66.663631
617461.191334,66.365251
619398.857538,65.979518
621073.331755,65.516843
622467.431613,65.027861
623566.851763,64.572585
624360.310664,64.200947
624839.666356,63.964250
625000.000000,63.882503
625000.000000,63.882503
625160.333644,63.799471
625639.689336,63.543603
626433.148237,63.095295
627532.568387,62.424363
628926.668245,61.494487
630601.142462,60.270222
632538.808666,58.727139
634719.783779,56.865474
637121.688045,54.727951
639719.874677,52.422616
642487.682764,50.151075
645396.710849,48.240022
648417.108367,47.170616
651517.881953,47.607444
654667.213474,50.535678
657832.786526,57.821392
660982.118047,70.149633
664082.891633,73.873314
667103.289151,71.943401
670012.317236,71.220613
672780.125323,71.238772
675378.311955,71.352589
677780.216221,71.306547
679961.191334,71.050519
681898.857538,70.610622
683573.331755,70.083761
684967.431613,69.536313
686066.851763,69.037489
686860.310664,68.642400
687339.666356,68.390062
687500.000000,68.303435
687500.000000,68.303435
687660.333644,68.215712
688139.689336,67.947038
688933.148237,67.482022
690032.568387,66.798875
691426.668245,65.875615
693101.142462,64.699464
695038.808666,63.280183
697219.783779,61.667870
699621.688045,59.977247
702219.874677,58.419529
704987.682764,57.344242
707896.710849,57.302779
710917.108367,59.181642
714017.881953,64.569512
717167.213474,75.493687
720332.786526,82.128824
723482.118047,78.123708
726582.891633,75.880052
729603.289151,75.627220
732512.317236,76.011848
735280.125323,76.391719
737878.311955,76.540445
740280.216221,76.432832
742461.191334,76.088044
744398.857538,75.595953
746073.331755,75.039515
747467.431613,74.492842
748566.851763,74.014798
749360.310664,73.647443
749839.666356,73.417542
750000.000000,73.339428
750000.000000,73.339428
750160.333644,73.260739
750639.689336,73.022272
751433.148237,72.618350
752532.568387,72.044727
753926.668245,71.306929
755601.142462,70.432985
757538.808666,69.491882
759719.783779,68.619954
762121.688045,68.060203
764719.874677,68.223977
767487.682764,69.813290
770396.710849,74.091682
773417.108367,83.065371
776517.881953,92.288457
779667.213474,86.819239
782832.786526,81.139470
785982.118047,79.510095
789082.891633,79.745630
792103.289151,80.516041
795012.317236,81.239546
797780.125323,81.701050
800378.311955,81.877917
802780.216221,81.807569
804961.191334,81.565744
806898.857538,81.233027
808573.331755,80.879370
809967.431613,80.556271
811066.851763,80.294582
811860.310664,80.107715
812339.666356,79.997507
812500.000000,79.961300
812500.000000,79.961300
812660.333644,79.925482
813139.689336,79.821081
813933.148237,79.659402
815032.568387,79.466713
816426.668245,79.296463
818101.142462,79.249369
820038.808666,79.504329
822219.783779,80.373727
824621.688045,82.405336
827219.874677,86.589932
829987.682764,94.561908
832896.710849,104.888526
835917.108367,100.446845
839017.881953,89.600710
842167.213474,84.752067
845332.786526,83.776937
848482.118047,84.434755
851582.891633,85.589834
854603.289151,86.715355
857512.317236,87.637967
860280.125323,88.306501
862878.311955,88.757604
865280.216221,89.060354
867461.191334,89.288575
869398.857538,89.502243
871073.331755,89.737091
872467.431613,89.999862
873566.851763,90.270591
874360.310664,90.511359
874839.666356,90.678471
875000.000000,90.738408
875000.000000,90.738408
875160.333644,90.800483
875639.689336,90.999533
876433.148237,91.377772
877532.568387,92.019030
878926.668245,93.073091
880601.142462,94.800929
882538.808666,97.660909
884719.783779,102.463299
887121.688045,110.468098
889719.874677,120.875925
892487.682764,118.303838
895396.710849,102.486384
898417.108367,92.643255
901517.881953,88.933621
904667.213474,88.439182
907832.786526,89.387677
910982.118047,90.864036
914082.891633,92.435723
917103.289151,93.889548
920012.317236,95.194725
922780.125323,96.382601
925378.311955,97.518238
927780.216221,98.671969
929961.191334,99.898582
931898.857538,101.221467
933573.331755,102.622135
934967.431613,104.034360
936066.851763,105.349881
936860.310664,106.433475
937339.666356,107.150840
937500.000000,107.402267
937500.000000,107.402267
937660.333644,107.659736
938139.689336,108.467333
938933.148237,109.940202
940032.568387,112.305595
941426.668245,115.967220
943101.142462,121.594910
945038.808666,129.976939
947219.783779,139.253693
949621.688045,135.584562
952219.874677,116.834414
954987.682764,102.452166
957896.710849,95.354264
960917.108367,92.878957
964017.881953,92.928700
967167.213474,94.245416
970332.786526,96.124818
973482.118047,98.222630
976582.891633,100.375601
979603.289151,102.549624
982512.317236,104.781381
985280.125323,107.143426
987878.311955,109.719100
990280.216221,112.581888
992461.191334,115.774947
994398.857538,119.290246
996073.331755,123.042151
997467.431613,126.842455
998566.851763,130.392779
999360.310664,133.318431
999839.666356,135.251167
1000000.000000,135.926941
